"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1004,71
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.7,530,178
3,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,707,28
4,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2979,180
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,508,169
6,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.66,1014,55
7,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1331,30
8,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.66,12904,64
9,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,355,157
10,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1858,76
11,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.63,1444,95
12,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3197,134
13,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4257,184
14,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,503,185
15,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6160,12
16,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,684,33
17,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.6,487,157
18,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14107,98
19,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1251,24
20,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.58,1624,60
21,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6890,3
22,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,332,140
23,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.57,576,176
24,"The Alchemist","Focal Banger","American IPA","7.00%",4.56,2639,101
25,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,600,153
26,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2516,114
27,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12002,96
28,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.56,337,164
29,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4289,136
30,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,2023,90
31,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.54,886,16
32,"Kern River Brewing Company","Citra","American Double / Imperial IPA","8.00%",4.54,1693,117
33,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2105,107
34,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.54,1582,77
35,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.53,571,140
36,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6238,4
37,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.53,824,23
38,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9800,8
39,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.52,1068,37
40,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1292,71
41,"Brothers Craft Brewing","Resolute - Coconut","American Double / Imperial Stout","13.50%",4.52,183,133
42,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2788,138
43,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.51,166,137
44,"Trillium Brewing Company","Headroom","American Double / Imperial IPA","8.00%",4.51,411,152
45,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.51,1719,81
46,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.5,463,137
47,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.5,960,35
48,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.5,1708,88
49,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,3999,162
50,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.5,444,170
51,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,11919,69
52,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.5,683,158
53,"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged","American Double / Imperial Stout","11.00%",4.5,274,121
54,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6197,7
55,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1694,71
56,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1398,42
57,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,782,160
58,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.49,1056,179
59,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,764,84
60,"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)","American Pale Ale (APA)","5.80%",4.49,247,133
61,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4042,149
62,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.49,3986,145
63,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.48,1106,22
64,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.48,1665,41
65,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,801,61
66,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1880,120
67,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,715,179
68,"Voodoo Brewing Company","Grande Negro Voodoo Papi - Bourbon Barrel Aged","American Double / Imperial Stout","12.50%",4.48,235,125
69,"Trillium Brewing Company","Cutting Tiles","American Double / Imperial IPA","8.50%",4.48,990,38
70,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6848,13
71,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,329,133
72,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5619,171
73,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2095,166
74,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,714,177
75,"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.47,118,100
76,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1008,79
77,"Ozark Beer Company","BDCS","American Double / Imperial Stout","10.20%",4.47,304,142
78,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16183,99
79,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9044,68
80,"Goose Island Beer Company","Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.47,4960,141
81,"The Alchemist","Crusher","American Double / Imperial IPA","9.60%",4.46,1373,43
82,"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3051,124
83,"Surly Brewing Company","Abrasive Ale","American Double / Imperial IPA","9.00%",4.46,4444,181
84,"Evil Twin Brewing","Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,584,157
85,"Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1687,112
86,"Surly Brewing Company","Todd The Axe Man","American IPA","7.20%",4.46,2115,110
87,"The Bruery","Black Tuesday","American Double / Imperial Stout","19.20%",4.46,3766,154
88,"The Lost Abbey","Cable Car","American Wild Ale","7.00%",4.46,959,77
89,"Russian River Brewing Company","Beatification","American Wild Ale","5.50%",4.46,2582,143
90,"Funky Buddha Brewery","Wide Awake It's Morning","American Porter","10.00%",4.46,627,23
91,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.46,727,172
92,"Hill Farmstead Brewery","Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1356,44
93,"Firestone Walker Brewing Company","Parabajava","Russian Imperial Stout","14.00%",4.46,593,160
94,"Prairie Artisan Ales","Prairie Pirate Bomb!","American Double / Imperial Stout","14.00%",4.45,1873,62
95,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,697,29
96,"Hill Farmstead Brewery","Susan","American IPA","6.20%",4.45,1751,57
97,"Fremont Brewing Company","The Rusty Nail","American Double / Imperial Stout","13.20%",4.45,160,108
98,"Firestone Walker Brewing Company","§ucaba","English Barleywine","12.50%",4.45,4926,174
99,"Hill Farmstead Brewery","Everett Porter","American Porter","7.50%",4.45,2564,115
100,"Trillium Brewing Company","Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.45,1742,56
101,"Cigar City Brewing","Caffè Americano","American Double / Imperial Stout","11.00%",4.45,946,27
102,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,997,53
103,"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2055,109
104,"Trillium Brewing Company","Congress Street IPA","American IPA","7.20%",4.45,1818,74
105,"Perrin Brewery","No Rules","American Porter","15.00%",4.44,939,59
106,"Trillium Brewing Company","Mosaic Dry Hopped Fort Point","American Pale Ale (APA)","6.60%",4.44,900,17
107,"Mikkeller ApS","Beer Geek Vanilla Shake (Bourbon Edition)","American Double / Imperial Stout","13.00%",4.44,293,126
108,"Cigar City Brewing","Decoherence","American Double / Imperial Stout","12.90%",4.44,166,89
109,"Toppling Goliath Brewing Company","Sosus","American Double / Imperial IPA","8.00%",4.44,1243,37
110,"Alpine Beer Company","Keene Idea","American Double / Imperial IPA","8.88%",4.44,445,151
111,"Hair of the Dog Brewing Company / Brewery and Tasting Room","Adam From The Wood","Old Ale","12.00%",4.44,940,48
112,"Three Floyds Brewing Company","Permanent Funeral","American Double / Imperial IPA","10.50%",4.44,2775,102
113,"Bell's Brewery, Inc.","Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12643,97
114,"Jackie O's Pub & Brewery","Bourbon Barrel Champion Ground","American Double / Imperial Stout","11.00%",4.44,397,159
115,"Prairie Artisan Ales","Barrel Aged Bomb!","American Double / Imperial Stout","11.20%",4.44,949,42
116,"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.43,160,103
117,"de Garde Brewing","The Broken Truck","Gueuze","5.00%",4.43,140,78
118,"Oskar Blues Grill & Brew","Ten Fidy Bourbon Barrel Aged","Russian Imperial Stout","12.90%",4.43,675,14
119,"Trillium Brewing Company","Upper Case","American Double / Imperial IPA","9.00%",4.43,771,185
120,"Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1538,35
121,"Stone Brewing","Imperial Russian Stout - Bourbon Barrel Aged","Russian Imperial Stout","13.50%",4.43,1135,47
122,"de Garde Brewing","Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.43,182,86
123,"Anchorage Brewing Company","A Deal With The Devil","American Barleywine","17.30%",4.43,947,30
124,"Trillium Brewing Company","Heavy Mettle","American Double / Imperial IPA","9.30%",4.42,766,165
125,"Peg's Cantina & Brew Pub","Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.42,133,78
126,"Columbus Brewing Company","Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1402,58
127,"Firestone Walker Brewing Company","Stickee Monkee","Quadrupel (Quad)","12.00%",4.42,2297,85
128,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.42,408,146
129,"Funky Buddha Brewery","Maple Bacon Coffee Porter","American Porter","6.40%",4.42,1693,80
130,"Funky Buddha Brewery","Last Snow","American Porter","6.40%",4.42,1671,77
131,"J. Wakefield Brewing","Miami Madness","Berliner Weissbier","3.50%",4.42,277,123
132,"Brouwerij St. Bernardus NV","St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9307,67
133,"FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.42,1844,94
134,"Brasserie Cantillon","Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1246,93
135,"Peg's Cantina & Brew Pub","Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.42,728,19
136,"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,634,18
137,"Brasserie Cantillon","Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2007,131
